corp_id,corp_name,typ,address,county,NAME,geometry
5845,South Montgomery Community School Corporation,School Corporation,"PO Box 8, New Market, IN, 47965",Montgomery,South Montgomery Community School Corporation,"c(-86.7818523, 39.9777608)"
5855,Crawfordsville Community Schools,School Corporation,"1000 Fairview Ave, Crawfordsville, IN, 47933",Montgomery,Crawfordsville Community Schools,"c(-86.8882403, 40.0456096)"
5900,Monroe-Gregg School District,School Corporation,"135 S Chestnut St, Monrovia, IN, 46157",Morgan,Monroe-Gregg School District,"c(-86.4776288, 39.5760431)"
5910,Eminence Community School Corporation,School Corporation,"PO Box 135, Eminence, IN, 46125",Morgan,Eminence Community School Corporation,"c(-86.6006249, 39.4989766)"
5925,Metropolitan School District Martinsville Schools,School Corporation,"PO Box 1416, Martinsville, IN, 46151",Morgan,Martinsville Schools Metropolitan School District,"c(-86.4592091, 39.3913252)"
5930,Mooresville Consolidated School Corporation,School Corporation,"11 W Carlisle St, Mooresville, IN, 46158",Morgan,Mooresville Consolidated School Corporation,"c(-86.3799428, 39.6170144)"
5945,North Newton School Corporation,School Corporation,"PO Box 8, Morocco, IN, 47963",Newton,North Newton School Corporation,"c(-87.4207518, 41.0509537)"
5995,South Newton School Corporation,School Corporation,"13232 S 50 E, Kentland, IN, 47951",Newton,South Newton School Corporation,"c(-87.3829344, 40.8059927)"
6055,Central Noble Community School Corporation,School Corporation,"200 E Main St, Albion, IN, 46701",Noble,Central Noble Community School Corporation,"c(-85.4223393, 41.3954086)"
6060,East Noble School Corporation,School Corporation,"126 W Rush St, Kendallville, IN, 46755",Noble,East Noble School Corporation,"c(-85.266279, 41.441375)"
6065,West Noble School Corporation,School Corporation,"5050 N US 33, Ligonier, IN, 46767",Noble,West Noble School Corporation,"c(-85.5816829, 41.4259194)"
6080,Rising Sun-Ohio County Community,School Corporation,"110 S Henrietta St, Rising Sun, IN, 47040",Ohio,Rising Sun-Ohio County Community Schools,"c(-84.8589914, 38.9506064)"
6145,Orleans Community Schools,School Corporation,"173 W Marley St, Orleans, IN, 47452",Orange,Orleans Community Schools,"c(-86.4545279, 38.6687848)"
6155,Paoli Community School Corporation,School Corporation,"501 Elm St - Ofc Supt, Paoli, IN, 47454",Orange,Paoli Community School Corporation,"c(-86.47701, 38.5497709)"
6160,Springs Valley Community School Corporation,School Corporation,"498 S Larry Bird Blvd, French Lick, IN, 47432",Orange,Springs Valley Community School Corporation,"c(-86.6169637, 38.5489744)"
6195,Spencer-Owen Community Schools,School Corporation,"205 E Hillside, Spencer, IN, 47460",Owen,Spencer-Owen Community Schools,"c(-86.7603009, 39.2899403)"
6260,Southwest Parke Community School Corporation,School Corporation,"4851 S Coxville Rd, Montezuma, IN, 47862",Parke,Southwest Parke Community School Corporation,"c(-87.324697, 39.698077)"
6325,Perry Central Community Schools Corporation,School Corporation,"18677 Old SR 37, Leopold, IN, 47551",Perry,Perry Central Community School Corporation,"c(-86.60415, 38.111347)"
6340,Cannelton City Schools,School Corporation,"109 S Third St, Cannelton, IN, 47520",Perry,Cannelton City Schools,"c(-86.7438865, 37.9102913)"
6350,Tell City-Troy Township School Corporation,School Corporation,"837 17th St, Tell City, IN, 47586",Perry,Tell City-Troy Township School Corporation,"c(-86.7215175, 37.9541186)"
