corp_id,corp_name,schl_id,schl_name,math_prof_pct
2825,Madison-Grant United School Corp,2836,Virtual Preparatory Academy of Indiana at Madison-Grant 6-8,0.024
2855,Mississinewa Community School Corp,2335,R J Baskett Middle School,0.261
2855,Mississinewa Community School Corp,2346,Northview Elementary School,0.431
2865,Marion Community Schools,2350,Justice Thurgood Marshall Intrmd,0.218
2865,Marion Community Schools,2357,John L McCulloch Junior High Sch,0.106
2865,Marion Community Schools,2369,Allen Elementary School,0.265
2865,Marion Community Schools,2393,John W Kendall Elem School,0.373
2865,Marion Community Schools,2405,Riverview Elementary School,0.449
2865,Marion Community Schools,2409,Frances Slocum Elem School,0.292
2920,Bloomfield School District,2417,Bloomfield Elementary School,0.441
2920,Bloomfield School District,2421,Bloomfield Middle School,0.165
2940,Eastern Greene Schools,2433,Eastern Greene Elementary School,0.487
2940,Eastern Greene Schools,2436,Eastern Greene Middle School,0.353
2950,Linton-Stockton School Corporation,2438,Linton-Stockton Middle School,0.329
2950,Linton-Stockton School Corporation,2441,Linton-Stockton Elementary,0.645
2960,MSD Shakamak Schools,2445,Shakamak Jr-Sr High School,0.183
2960,MSD Shakamak Schools,2449,Shakamak Elementary School,0.481
2980,White River Valley School District,2457,White River Valley Middle School,0.399
2980,White River Valley School District,2460,White River Valley Elementary Sch,0.633
3005,Hamilton Southeastern Schools,2464,Deer Creek Elementary,0.618
3005,Hamilton Southeastern Schools,2466,Brooks School Elementary,0.721
3005,Hamilton Southeastern Schools,2468,New Britton Elementary School,0.696
3005,Hamilton Southeastern Schools,2469,Fishers Elementary School,0.575
3005,Hamilton Southeastern Schools,2470,Cumberland Road Elem School,0.671
3005,Hamilton Southeastern Schools,2471,Hoosier Road Elementary School,0.705
3005,Hamilton Southeastern Schools,2473,Fall Creek Elementary School,0.821
3005,Hamilton Southeastern Schools,2474,Geist Elementary School,0.751
3005,Hamilton Southeastern Schools,2475,Lantern Road Elementary School,0.746
3005,Hamilton Southeastern Schools,2476,Fishers Junior High School,0.553
3005,Hamilton Southeastern Schools,2479,Sand Creek Intermediate School,0.523
3005,Hamilton Southeastern Schools,2481,Harrison Parkway Elementary School,0.745
3005,Hamilton Southeastern Schools,2482,Sand Creek Elementary,0.602
3005,Hamilton Southeastern Schools,2483,Thorpe Creek Elementary,0.831
3005,Hamilton Southeastern Schools,2484,Southeastern Elementary School,0.732
3005,Hamilton Southeastern Schools,2485,Fall Creek Intermediate School,0.664
3005,Hamilton Southeastern Schools,2486,Fall Creek Junior High,0.565
3005,Hamilton Southeastern Schools,2489,Hamilton SE Int and Jr High Sch,0.618
3005,Hamilton Southeastern Schools,2490,Riverside Junior High,0.536
3005,Hamilton Southeastern Schools,2500,Riverside Intermediate School,0.676
3025,Hamilton Heights School Corp,2478,Hamilton Heights Elementary School,0.465
3025,Hamilton Heights School Corp,2501,Hamilton Heights Middle School,0.457
3030,Westfield-Washington Schools,2491,Westfield Middle School,0.605
3030,Westfield-Washington Schools,2492,Shamrock Springs Elementary School,0.711
3030,Westfield-Washington Schools,2494,Carey Ridge Elementary School,0.705
3030,Westfield-Washington Schools,2495,Washington Woods Elementary School,0.696
3030,Westfield-Washington Schools,2496,Oak Trace Elementary School,0.862
3030,Westfield-Washington Schools,2498,Monon Trail Elementary School,0.694
3030,Westfield-Washington Schools,2503,Westfield Intermediate School,0.611
3030,Westfield-Washington Schools,2504,Maple Glen Elementary,0.724
3055,Sheridan Community Schools,2465,Sheridan Elementary School,0.5
3055,Sheridan Community Schools,6780,Sheridan Middle School,0.361
3060,Carmel Clay Schools,2506,Clay Middle School,0.587
3060,Carmel Clay Schools,2507,Woodbrook Elementary School,0.776
3060,Carmel Clay Schools,2508,Cherry Tree Elementary School,0.787
3060,Carmel Clay Schools,2509,Carmel Elementary School,0.686
3060,Carmel Clay Schools,2510,College Wood Elementary School,0.875
3060,Carmel Clay Schools,2511,Carmel Middle School,0.534
3060,Carmel Clay Schools,2512,Smoky Row Elementary School,0.808
3060,Carmel Clay Schools,2515,Prairie Trace Elementary School,0.801
3060,Carmel Clay Schools,2516,Mohawk Trails Elementary School,0.642
3060,Carmel Clay Schools,2518,Forest Dale Elementary School,0.626
3060,Carmel Clay Schools,2520,Creekside Middle School,0.777
3060,Carmel Clay Schools,2522,Towne Meadow Elementary School,0.816
3060,Carmel Clay Schools,2526,West Clay Elementary School,0.872
3060,Carmel Clay Schools,3071,Clay Center Elementary School,0.774
3070,Noblesville Schools,2521,Noblesville East Middle School,0.485
