corp_id,corp_name,schl_id,schl_name,sc_prof_pct
1560,Sunman-Dearborn Com Sch Corp,7211,Sunman Elementary School,0.395
1600,South Dearborn Community Sch Corp,1141,Dillsboro Elementary School,0.533
1600,South Dearborn Community Sch Corp,1165,Manchester Elementary School,0.268
1600,South Dearborn Community Sch Corp,1197,Aurora Elementary School,0.331
1620,Lawrenceburg Community School Corp,1209,Greendale Middle School,0.374
1620,Lawrenceburg Community School Corp,1217,Central Elementary School,0.397
1655,Decatur County Community Schools,1265,South Decatur Elementary School,0.41
1655,Decatur County Community Schools,1266,North Decatur Elementary School,0.554
1730,Greensburg Community Schools,1269,Greensburg Community Jr High,0.407
1730,Greensburg Community Schools,1270,Greensburg Elementary,0.547
1805,DeKalb Co Eastern Com Sch Dist,1321,Butler Elementary School,0.268
1805,DeKalb Co Eastern Com Sch Dist,1335,Riverdale Elementary School,0.662
1820,Garrett-Keyser-Butler Com Sch Corp,1329,J E Ober Elementary School,0.282
1820,Garrett-Keyser-Butler Com Sch Corp,1331,Garrett Middle School,0.307
1835,DeKalb Co Ctl United Sch Dist,1341,Waterloo Elementary School,0.136
1835,DeKalb Co Ctl United Sch Dist,1346,DeKalb Middle School,0.434
1835,DeKalb Co Ctl United Sch Dist,1351,James R Watson Elementary School,0.506
1835,DeKalb Co Ctl United Sch Dist,1357,McKenney-Harrison Elementary Sch,0.323
1835,DeKalb Co Ctl United Sch Dist,1359,Country Meadow Elementary School,0.343
1875,Delaware Community School Corp,1365,Royerton Elementary School,0.554
1875,Delaware Community School Corp,1367,Delta Middle School,0.518
1875,Delaware Community School Corp,1409,Eaton Elementary School,0.5
1875,Delaware Community School Corp,1520,Albany Elementary School,0.452
1885,Wes-Del Community Schools,1372,Wes-Del Middle/Senior High School,0.262
1885,Wes-Del Community Schools,1413,Wes-Del Elementary School,0.234
1895,Liberty-Perry Community Sch Corp,1377,Selma Middle School,0.565
1895,Liberty-Perry Community Sch Corp,1381,Selma Elementary School,0.49
1900,Cowan Community School Corp,1385,Cowan Elementary School,0.364
1910,Yorktown Community Schools,1387,Yorktown Middle School,0.386
1910,Yorktown Community Schools,1393,Yorktown Elementary School,0.436
1940,Daleville Community Schools,1405,Daleville Elementary School,0.319
1970,Muncie Community Schools,1431,Northside Middle School,0.261
