stlmt_corp_name,stlmt_corp_id,nrl_schl_name,nrl_schl_id,yr,xfr_sqrt,clr,stlmt_lon,stlmt_lat,nrl_lat,nrl_lon,typ,tot_xfr,fillcolor,fname,weight,color,pct_of_xfr,log,minutes
Metropolitan School District Martinsville Schools,5925,Cloverdale Community Schools,6750,2023,2.23606797749979,#0868ac,-86.4283279,39.42782529999999,39.5109654,-86.78998399999999,Public,5,#d95f02,5925-6750,0,NA,0.56,-0.579818495252942,37.43333333333333
Metropolitan School District Martinsville Schools,5925,Union School Corporation,6795,2023,5.196152422706632,#0868ac,-86.4283279,39.42782529999999,40.0481017,-85.1251322,Public,27,#d95f02,5925-6795,0,NA,3,1.0986122886681098,108.51666666666667
Mooresville Consolidated School Corporation,5930,Clarksville Community School Corporation,1000,2023,3.3166247903554,#0868ac,-86.37989639999999,39.616964,38.302952,-85.76037,Public,11,#d95f02,5930-1000,0,NA,1.72,0.5423242908253617,103.88333333333334
Mooresville Consolidated School Corporation,5930,Cloverdale Community Schools,6750,2023,1.4142135623730951,#0868ac,-86.37989639999999,39.616964,39.5109654,-86.78998399999999,Public,2,#d95f02,5930-6750,0,NA,0.31,-1.171182981502945,43.81666666666667
Mooresville Consolidated School Corporation,5930,Union School Corporation,6795,2023,5.916079783099616,#0868ac,-86.37989639999999,39.616964,40.0481017,-85.1251322,Public,35,#d95f02,5930-6795,0,NA,5.48,1.7011051009599245,93.75
North Newton School Corporation,5945,Clarksville Community School Corporation,1000,2023,3.1622776601683795,#0868ac,-87.42075179999999,41.0509537,38.302952,-85.76037,Public,10,#d95f02,5945-1000,0,NA,5.35,1.6770965609079151,208.25
North Newton School Corporation,5945,Union School Corporation,6795,2023,3.872983346207417,#0868ac,-87.42075179999999,41.0509537,40.0481017,-85.1251322,Public,15,#d95f02,5945-6795,0,NA,8.02,2.081938421878423,172.58333333333334
South Newton School Corporation,5995,Clarksville Community School Corporation,1000,2023,3.1622776601683795,#0868ac,-87.3829141,40.8059853,38.302952,-85.76037,Public,10,#d95f02,5995-1000,0,NA,16.95,2.830267833826459,201.01666666666668
South Newton School Corporation,5995,Cloverdale Community Schools,6750,2023,1.4142135623730951,#0868ac,-87.3829141,40.8059853,39.5109654,-86.78998399999999,Public,2,#d95f02,5995-6750,0,NA,3.39,1.220829921392359,131.3
South Newton School Corporation,5995,Union School Corporation,6795,2023,1.4142135623730951,#0868ac,-87.3829141,40.8059853,40.0481017,-85.1251322,Public,2,#d95f02,5995-6795,0,NA,3.39,1.220829921392359,165.35
Central Noble Community School Corporation,6055,Clarksville Community School Corporation,1000,2023,1.4142135623730951,#0868ac,-85.4223631,41.3954149,38.302952,-85.76037,Public,2,#d95f02,6055-1000,0,NA,1.27,0.23901690047049992,246.66666666666666
Central Noble Community School Corporation,6055,Union School Corporation,6795,2023,2,#0868ac,-85.4223631,41.3954149,40.0481017,-85.1251322,Public,4,#d95f02,6055-6795,0,NA,2.55,0.9360933591703348,134.36666666666667
East Noble School Corporation,6060,Clarksville Community School Corporation,1000,2023,2.449489742783178,#0868ac,-85.2663051,41.4414183,38.302952,-85.76037,Public,6,#d95f02,6060-1000,0,NA,1.2,0.1823215567939546,238.58333333333334
East Noble School Corporation,6060,Cloverdale Community Schools,6750,2023,1.4142135623730951,#0868ac,-85.2663051,41.4414183,39.5109654,-86.78998399999999,Public,2,#d95f02,6060-6750,0,NA,0.4,-0.916290731874155,183.46666666666667
East Noble School Corporation,6060,Union School Corporation,6795,2023,6.164414002968976,#0868ac,-85.2663051,41.4414183,40.0481017,-85.1251322,Public,38,#d95f02,6060-6795,0,NA,7.57,2.0241930674493576,126.26666666666667
West Noble School Corporation,6065,Clarksville Community School Corporation,1000,2023,1,#0868ac,-85.58130880000002,41.4258661,38.302952,-85.76037,Public,1,#d95f02,6065-1000,0,NA,0.49,-0.7133498878774648,247.55
West Noble School Corporation,6065,Cloverdale Community Schools,6750,2023,1,#0868ac,-85.58130880000002,41.4258661,39.5109654,-86.78998399999999,Public,1,#d95f02,6065-6750,0,NA,0.49,-0.7133498878774648,192.45
