corp_id,corp_name,schl_id,schl_name,IREAD_pct
3005,Hamilton Southeastern Schools,2468,New Britton Elementary School,0.812
3005,Hamilton Southeastern Schools,2469,Fishers Elementary School,0.803
3005,Hamilton Southeastern Schools,2470,Cumberland Road Elem School,0.925
3005,Hamilton Southeastern Schools,2471,Hoosier Road Elementary School,0.879
3005,Hamilton Southeastern Schools,2473,Fall Creek Elementary School,0.882
3005,Hamilton Southeastern Schools,2474,Geist Elementary School,NA
3005,Hamilton Southeastern Schools,2475,Lantern Road Elementary School,0.954
3005,Hamilton Southeastern Schools,2481,Harrison Parkway Elementary School,0.943
3005,Hamilton Southeastern Schools,2482,Sand Creek Elementary,0.86
3005,Hamilton Southeastern Schools,2483,Thorpe Creek Elementary,NA
3005,Hamilton Southeastern Schools,2484,Southeastern Elementary School,NA
3025,Hamilton Heights School Corp,2478,Hamilton Heights Elementary School,0.869
3030,Westfield-Washington Schools,2492,Shamrock Springs Elementary School,0.889
3030,Westfield-Washington Schools,2494,Carey Ridge Elementary School,0.747
3030,Westfield-Washington Schools,2495,Washington Woods Elementary School,0.779
3030,Westfield-Washington Schools,2496,Oak Trace Elementary School,NA
3030,Westfield-Washington Schools,2498,Monon Trail Elementary School,0.87
3030,Westfield-Washington Schools,2504,Maple Glen Elementary,0.904
3055,Sheridan Community Schools,2465,Sheridan Elementary School,0.857
3060,Carmel Clay Schools,2507,Woodbrook Elementary School,NA
3060,Carmel Clay Schools,2508,Cherry Tree Elementary School,0.731
3060,Carmel Clay Schools,2509,Carmel Elementary School,0.916
3060,Carmel Clay Schools,2510,College Wood Elementary School,NA
3060,Carmel Clay Schools,2512,Smoky Row Elementary School,0.992
3060,Carmel Clay Schools,2515,Prairie Trace Elementary School,0.928
3060,Carmel Clay Schools,2516,Mohawk Trails Elementary School,0.772
3060,Carmel Clay Schools,2518,Forest Dale Elementary School,0.891
3060,Carmel Clay Schools,2522,Towne Meadow Elementary School,0.879
3060,Carmel Clay Schools,2526,West Clay Elementary School,NA
3060,Carmel Clay Schools,3071,Clay Center Elementary School,NA
3070,Noblesville Schools,2523,Hinkle Creek Elementary School,0.853
3070,Noblesville Schools,2529,North Elementary School,0.847
3070,Noblesville Schools,2533,Stony Creek Elementary School,0.861
3070,Noblesville Schools,2537,Noble Crossing Elementary School,0.901
3070,Noblesville Schools,2538,Hazel Dell Elementary School,0.855
3070,Noblesville Schools,2539,Promise Road Elementary,0.796
3070,Noblesville Schools,2547,White River Elementary School,0.797
3115,Southern Hancock Co Com Sch Corp,2563,Brandywine Elementary School,0.899
3115,Southern Hancock Co Com Sch Corp,2564,New Palestine Elementary School,0.94
3115,Southern Hancock Co Com Sch Corp,2567,Sugar Creek Elementary Sch,0.889
3125,Greenfield-Central Com Schools,2581,Eden Elementary School,NA
3125,Greenfield-Central Com Schools,2588,JB Stephens Elementary School,0.93
3125,Greenfield-Central Com Schools,2597,Harris Elementary School,0.876
3125,Greenfield-Central Com Schools,2609,Weston Elementary School,0.87
3135,Mt Vernon Community School Corp,2558,Fortville Elementary School,0.947
3135,Mt Vernon Community School Corp,2561,Mt Comfort Elementary School,0.91
3135,Mt Vernon Community School Corp,2570,McCordsville Elementary School,0.86
3145,Eastern Hancock Co Com Sch Corp,2586,Eastern Hancock Elementary School,0.841
3160,Lanesville Community School Corp,2611,Lanesville Elementary School,0.962
3180,North Harrison Com School Corp,2621,Morgan Elementary School,0.935
3180,North Harrison Com School Corp,2633,North Harrison Elementary School,0.892
3190,South Harrison Com Schools,2645,Corydon Elementary School,0.819
3190,South Harrison Com Schools,2649,New Middletown Elementary School,NA
3190,South Harrison Com Schools,2653,Heth-Washington Elementary School,NA
3190,South Harrison Com Schools,2667,South Central Elementary,0.82
3295,North West Hendricks Schools,2685,North Salem Elementary School,NA
3295,North West Hendricks Schools,2725,Pittsboro Elementary School,1
3305,Brownsburg Community School Corp,2706,Brown Elementary School,0.961
3305,Brownsburg Community School Corp,2711,Eagle Elementary School,0.96
3305,Brownsburg Community School Corp,2714,Reagan Elementary School,0.988
3305,Brownsburg Community School Corp,2718,Delaware Trail Elementary School,0.938
3305,Brownsburg Community School Corp,2723,White Lick Elementary School,0.949
3305,Brownsburg Community School Corp,2727,Cardinal Elementary School,0.968
3305,Brownsburg Community School Corp,2744,Lincoln Elementary School,0.921
3315,Avon Community School Corp,2726,River Birch Elementary School,0.939
3315,Avon Community School Corp,2733,Maple Elementary School,0.892
3315,Avon Community School Corp,2735,Sycamore Elementary School,0.889
3315,Avon Community School Corp,2738,Cedar Elementary School,0.906
3315,Avon Community School Corp,2739,Pine Tree Elementary School,0.91
3315,Avon Community School Corp,2740,Hickory Elementary School,0.844
3325,Danville Community School Corp,2745,South Elementary School,0.909
3330,Plainfield Community School Corp,2748,Clarks Creek Elementary,0.717
3330,Plainfield Community School Corp,2751,Central Elementary School,0.899
3330,Plainfield Community School Corp,2761,Van Buren Elementary School,0.892
3330,Plainfield Community School Corp,2763,Brentwood Elementary School,0.912
3330,Plainfield Community School Corp,3338,Guilford Elementary,0.777
3335,Mill Creek Community Sch Corp,2675,Mill Creek East Elementary,0.912
3335,Mill Creek Community Sch Corp,2677,Mill Creek West Elementary,0.918
3405,Blue River Valley Schools,2803,Blue River Valley Elementary Sch,0.785
3415,South Henry School Corp,2777,Tri Elementary School,0.741
3435,Shenandoah School Corporation,2815,Shenandoah Elementary School,0.886
3445,New Castle Community School Corp,2832,Eastwood Elementary School,NA
3445,New Castle Community School Corp,2847,Parker Elementary School,0.681
3445,New Castle Community School Corp,2849,James Whitcomb Riley Elem School,0.95
3445,New Castle Community School Corp,2853,Sunnyside Elementary School,NA
