corp_id,corp_name,schl_id,schl_name,ela_prof_pct
2275,Middlebury Community Schools,1697,York Elementary School,0.281
2275,Middlebury Community Schools,1731,Heritage Intermediate School,0.393
2275,Middlebury Community Schools,1732,Middlebury Elementary School,0.614
2275,Middlebury Community Schools,1734,Orchard View School,0.511
2285,Wa-Nee Community Schools,1669,North Wood Middle School,0.574
2285,Wa-Nee Community Schools,1735,Wakarusa Elementary School,0.599
2285,Wa-Nee Community Schools,1743,Nappanee Elementary School,0.548
2285,Wa-Nee Community Schools,1747,Woodview Elementary School,0.557
2305,Elkhart Community Schools,1617,Cleveland Elementary School,0.252
2305,Elkhart Community Schools,1673,Osolo Elementary School,0.241
2305,Elkhart Community Schools,1679,Eastwood Elementary School,0.229
2305,Elkhart Community Schools,1681,Mary Feeser Elementary School,0.204
2305,Elkhart Community Schools,1693,Bristol Elementary School,0.118
2305,Elkhart Community Schools,1752,Elkhart Alternative Education,0.019
2305,Elkhart Community Schools,1753,North Side Middle School,0.178
2305,Elkhart Community Schools,1761,West Side Middle School,0.293
2305,Elkhart Community Schools,1763,Pierre Moran Middle School,0.195
2305,Elkhart Community Schools,1765,Beardsley Elementary School,0.086
2305,Elkhart Community Schools,1769,Mary Beck Elementary School,0.049
2305,Elkhart Community Schools,1773,Mary Daly Elementary School,0.098
2305,Elkhart Community Schools,1785,Pinewood Elementary School,0.263
2305,Elkhart Community Schools,1789,Monger Elementary School,0.331
2305,Elkhart Community Schools,1797,Riverview Elementary School,0.366
2305,Elkhart Community Schools,1801,Roosevelt STEAM Academy,0.236
2305,Elkhart Community Schools,1817,Woodland Elementary School,0.237
2315,Goshen Community Schools,1629,Goshen Junior High School,0.363
2315,Goshen Community Schools,1633,Model Elementary School,0.3
2315,Goshen Community Schools,1641,Waterford Elementary School,0.403
2315,Goshen Community Schools,1829,Chamberlain Elementary School,0.457
2315,Goshen Community Schools,1833,Chandler Elementary School,0.29
2315,Goshen Community Schools,1843,Parkside Elementary School,0.389
2315,Goshen Community Schools,1847,Prairie View Elementary School,0.28
2315,Goshen Community Schools,1849,West Goshen Elementary School,0.308
2315,Goshen Community Schools,2318,Goshen Intermediate School,0.321
2395,Fayette County School Corporation,1869,Everton Elementary School,0.204
2395,Fayette County School Corporation,1895,Connersville Middle School,0.326
2395,Fayette County School Corporation,1897,Eastview Elementary School,0.442
2395,Fayette County School Corporation,1909,Frazee Elementary School,0.327
2395,Fayette County School Corporation,1913,Grandview Elementary School,0.269
2395,Fayette County School Corporation,1921,Fayette Central Elementary,0.503
2400,New Albany-Floyd Co Con Sch,1929,Georgetown Elementary School,0.602
2400,New Albany-Floyd Co Con Sch,1931,Highland Hills Middle School,0.55
2400,New Albany-Floyd Co Con Sch,1933,Hazelwood Middle School,0.266
2400,New Albany-Floyd Co Con Sch,1937,Nathaniel Scribner Middle School,0.348
2400,New Albany-Floyd Co Con Sch,1943,Slate Run Elementary School,0.336
2400,New Albany-Floyd Co Con Sch,1949,Fairmont Elementary School,0.252
2400,New Albany-Floyd Co Con Sch,1953,Greenville Elementary School,0.742
2400,New Albany-Floyd Co Con Sch,1957,Grant Line Elementary School,0.548
2400,New Albany-Floyd Co Con Sch,1961,Green Valley Elementary School,0.3
2400,New Albany-Floyd Co Con Sch,1966,Floyds Knobs Elementary School,0.702
2400,New Albany-Floyd Co Con Sch,1974,Mount Tabor Elementary School,0.384
2400,New Albany-Floyd Co Con Sch,1981,S Ellen Jones Elementary School,0.295
2435,Attica Consolidated School Corp,2053,Attica High School,0.246
2435,Attica Consolidated School Corp,2057,Attica Elementary School,0.327
2440,Covington Community School Corp,2009,Covington Elementary School,0.505
2440,Covington Community School Corp,2013,Covington Middle School,0.508
2455,Southeast Fountain School Corp,2021,Southeast Fountain Elementary,0.35
2455,Southeast Fountain School Corp,2022,Fountain Central High School,0.353
2455,Southeast Fountain School Corp,2458,Southeast Fountain Virtual Academy,NA
2475,Franklin County Community Sch Corp,2082,Laurel School,0.357
2475,Franklin County Community Sch Corp,2123,Franklin County Middle School,0.494
2475,Franklin County Community Sch Corp,2125,Brookville Elementary School,0.413
2475,Franklin County Community Sch Corp,2127,Mount Carmel School,0.448
2645,Rochester Community School Corp,2173,Rochester Community High School,0.421
2645,Rochester Community School Corp,2177,Rochester Community Middle School,0.415
2645,Rochester Community School Corp,2185,George M Riddle Elementary School,0.325
2650,Caston School Corporation,2157,Caston Elementary School,0.403
2650,Caston School Corporation,2159,Caston Jr-Sr High School,0.355
2725,East Gibson School Corporation,2189,Barton Township Elementary,0.667
2725,East Gibson School Corporation,2194,Wood Memorial Middle School,0.381
2725,East Gibson School Corporation,2201,Francisco Elementary School,0.467
2725,East Gibson School Corporation,2237,Oakland City Elementary School,0.263
2735,North Gibson School Corporation,2223,Princeton Comm Intermediate School,0.251
2735,North Gibson School Corporation,2225,Princeton Community Middle,0.321
2765,South Gibson School Corporation,2205,Haubstadt Community School,0.551
2765,South Gibson School Corporation,2214,Fort Branch Community School,0.499
2765,South Gibson School Corporation,2241,Owensville Community School,0.516
2815,Eastbrook Community Sch Corp,2263,Eastbrook South Elementary,0.443
2815,Eastbrook Community Sch Corp,2264,Eastbrook North Elementary,0.256
2815,Eastbrook Community Sch Corp,2299,Eastbrook Middle School,0.476
2825,Madison-Grant United School Corp,2321,Madison-Grant Jr./Sr. High School,0.291
